fpr,tpr
0.0,0.0
0.001325,0.01523
0.001988,0.018224
0.002651,0.018745
0.002651,0.019266
0.002651,0.020177
0.002651,0.021088
0.002651,0.021479
0.002651,0.021739
0.002651,0.021999
0.002651,0.022781
0.002651,0.023171
0.002651,0.023692
0.002651,0.023952
0.002651,0.024082
0.002651,0.024212
0.002651,0.024343
0.002651,0.024473
0.002651,0.024603
0.002651,0.024733
0.002651,0.024863
0.002651,0.024993
0.002651,0.025514
0.002651,0.025644
0.002651,0.025775
0.002651,0.025905
0.002651,0.026165
0.002651,0.026295
0.002651,0.026425
0.002651,0.026686
0.002651,0.026816
0.002651,0.027076
0.002651,0.027206
0.002651,0.027337
0.002651,0.027597
0.002651,0.027727
0.002651,0.028118
0.002651,0.028378
0.002651,0.028508
0.002651,0.028638
0.002651,0.028769
0.002651,0.028899
0.002651,0.029029
0.002651,0.029159
0.002651,0.029289
0.002651,0.029419
0.002651,0.02955
0.002651,0.02968
0.002651,0.02981
0.002651,0.02994
0.002651,0.03007
0.002651,0.030331
0.002651,0.030461
0.002651,0.030721
0.002651,0.030851
0.002651,0.030982
0.002651,0.031112
0.002651,0.031242
0.002651,0.031632
0.002651,0.031763
0.002651,0.031893
0.002651,0.032023
0.002651,0.032153
0.002651,0.032283
0.002651,0.032413
0.002651,0.032544
0.002651,0.032674
0.002651,0.033064
0.002651,0.033194
0.002651,0.033325
0.002651,0.033455
0.002651,0.033585
0.002651,0.033715
0.002651,0.033845
0.002651,0.033976
0.002651,0.034106
0.002651,0.034236
0.002651,0.034366
0.002651,0.034496
0.002651,0.034626
0.002651,0.034757
0.002651,0.034887
0.002651,0.035017
0.002651,0.035147
0.002651,0.035277
0.002651,0.035407
0.002651,0.035538
0.002651,0.035668
0.002651,0.035798
0.002651,0.035928
0.002651,0.036058
0.002651,0.036188
0.002651,0.036319
0.002651,0.036449
0.002651,0.036579
0.002651,0.036709
0.002651,0.036839
0.002651,0.03697
0.002651,0.0371
0.002651,0.03723
0.002651,0.03736
0.002651,0.03749
0.002651,0.03762
0.002651,0.037751
0.002651,0.037881
0.002651,0.038011
0.002651,0.038141
0.002651,0.038271
0.002651,0.038401
0.002651,0.038532
0.002651,0.038662
0.002651,0.038792
0.002651,0.038922
0.002651,0.039052
0.002651,0.039183
0.002651,0.039313
0.002651,0.039443
0.002651,0.039573
0.002651,0.039703
0.002651,0.039833
0.002651,0.039964
0.002651,0.040094
0.002651,0.040224
0.002651,0.040354
0.002651,0.040484
0.002651,0.040614
0.002651,0.040745
0.002651,0.040875
0.002651,0.041005
0.002651,0.041135
0.002651,0.041265
0.002651,0.041395
0.002651,0.041656
0.002651,0.041786
0.002651,0.041916
0.002651,0.042046
0.002651,0.042177
0.002651,0.042307
0.002651,0.042437
0.002651,0.042697
